sysfs                                             on  /sys                             type  sysfs            (rw,nosuid,nodev,noexec,relatime)
/var/lib/snapd/snaps/gnome-3-34-1804_72.snap      on  /snap/gnome-3-34-1804/72         type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/core20_1270.snap             on  /snap/core20/1270                type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/gnome-3-38-2004_87.snap      on  /snap/gnome-3-38-2004/87         type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/gnome-3-34-1804_77.snap      on  /snap/gnome-3-34-1804/77         type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/snap-store_547.snap          on  /snap/snap-store/547             type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/snap-store_558.snap          on  /snap/snap-store/558             type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/core20_1242.snap             on  /snap/core20/1242                type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/snapd_14066.snap             on  /snap/snapd/14066                type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/gtk-common-themes_1519.snap  on  /snap/gtk-common-themes/1519     type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/snapd_14295.snap             on  /snap/snapd/14295                type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/var/lib/snapd/snaps/gtk-common-themes_1515.snap  on  /snap/gtk-common-themes/1515     type  squashfs         (ro,nodev,relatime,x-gdu.hide)
/dev/sda1                                         on  /boot/efi                        type  vfat             (rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
tmpfs                                             on  /run/user/1000                   type  tmpfs            (rw,nosuid,nodev,relatime,size=100204k,mode=700,uid=1000,gid=1000,inode64)
gvfsd-fuse                                        on  /run/user/1000/gvfs              type  fuse.gvfsd-fuse  (rw,nosuid,nodev,relatime,user_id=1000,group_id=1000)
/dev/fuse                                         on  /run/user/1000/doc               type  fuse             (rw,nosuid,nodev,relatime,user_id=1000,group_id=1000)
tmpfs                                             on  /run/snapd/ns                    type  tmpfs            (rw,nosuid,nodev,noexec,relatime,size=100208k,mode=755,inode64)
nsfs                                              on  /run/snapd/ns/snap-store.mnt     type  nsfs             (rw)
